Publish Date,Publisher,Title,Written by
2019 Feb,Br J Neurosurg,Congenital Cirsoid aneurysm communicating with the sagittal sinus and supplied by extra and intracranial arteries.,Oshola HA et al.
2018 Oct 12,Nat Commun,Perceptual learning of fine contrast discrimination changes neuronal tuning and population coding in macaque V4.,Thiele A et al.
2019 Jan,J Stroke Cerebrovasc Dis,Bioccipital Lobe Hypoperfusion and Anton's Syndrome Resolution with Intravenous Thrombolysis.,Thierfelder KM et al.
2018 Dec,Neural Netw,A video-driven model of response statistics in the primate middle temporal area.,Tripp B et al.
2019 Jan 1,Neuroimage,Glutamatergic facilitation of neural responses in MT enhances motion perception in humans.,Murray SO et al.
2018 Dec 1,Toxicology,Bisphenol A exposure remodels cognition of male rats attributable to excitatory alterations in the hippocampus and visual cortex.,Hu F et al.
2018 Oct 12,Elife,Perceptual processing in the ventral visual stream requires area TE but not rhinal cortex.,Richmond BJ et al.
2018 Oct 12,Elife,Sensory experience inversely regulates feedforward and feedback excitation-inhibition ratio in rodent visual cortex.,Turrigiano GG et al.
2018 Oct 11,Transl Psychiatry,Effects of tumor necrosis factor-α polymorphism on the brain structural changes of the patients with major depressive disorder.,Fang Y et al.
2018 Oct 10,Neuron,A Head-Mounted Camera System Integrates Detailed Behavioral Monitoring with Multichannel Electrophysiology in Freely Moving Mice.,Linden JF et al.
2018,PLoS One,"MR-compatible, 3.8 inch dual organic light-emitting diode (OLED) in-bore display for functional MRI.",Felder J et al.
2018,PLoS One,Thy1 transgenic mice expressing the red fluorescent calcium indicator jRGECO1a for neuronal population imaging in vivo.,Svoboda K et al.
2018 Dec 1,J Neurophysiol,Input-specific maturation of NMDAR-mediated transmission onto parvalbumin-expressing interneurons in layers 2/3 of the visual cortex.,Wollmuth LP et al.
2018 Dec 1,J Neurophysiol,"Higher order, multifeatural object encoding by the oculomotor system.",Fallah M et al.
2019 Feb,Neuroradiol J,Calcified brain metastatic adenocarcinoma: A case report and review of the literature.,Benam M et al.
2018 Nov,Nat Rev Neurosci,A position on vision.,Yates D et al.
2018 Oct 10,Alzheimers Res Ther,Neurophysiological signals as predictive translational biomarkers for Alzheimer's disease treatment: effects of donepezil on neuronal network oscillations in TgF344-AD rats.,Hajós M et al.
2018 Nov 21,Neuroscience,Cross-modal Restoration of Juvenile-like Ocular Dominance Plasticity after Increasing GABAergic Inhibition.,Bolz J et al.
2020 Feb,Brain Imaging Behav,Neural correlates of proactive and reactive inhibition of saccadic eye movements.,Ettinger U et al.
2018 Nov,Cortex,Functional specialization for feature-based and symmetry-based groupings in multiple object tracking.,Zhang X et al.
2019 Jul 22,Cereb Cortex,Representing Multiple Observed Actions in the Motor System.,Brass M et al.
2018,Acta Neurobiol Exp (Wars),MMP‑3 deficiency does not influence the length and number of CA1 dendrites of hippocampus of adult mice.,Mozrzymas JW et al.
2018,Respir Med Case Rep,A devastating cardiovascular event in an adult cystic fibrosis patient: An unforeseen outcome of increasing life expectancy.,Chittivelu S et al.
2018 Nov 30,Psychiatry Res Neuroimaging,Longitudinal changes in the mismatch field evoked by an empathic voice reflect changes in the empathy quotient in autism spectrum disorder.,Minabe Y et al.
2019 Jun,Exp Eye Res,Early monocular enucleation selectively disrupts neural development of face perception in the occipital face area.,Steeves JKE et al.
2019 Jan,Brain Struct Funct,TMS of the occipital face area modulates cross-domain identity priming.,Kovács G et al.
2019 Dec,Clin Neuroradiol,Magnetic Resonance Spectroscopy Features of the Visual Pathways in Patients with Glaucoma.,Yurtsever İ et al.
2018 Nov 21,J Neurosci,Temporal Contingencies Determine Whether Adaptation Strengthens or Weakens Normalization.,Kohn A et al.
2018 Dec 15,J Neurol Sci,Perfusion abnormality on three-dimensional arterial spin labeling with a 3T MR system in pediatric and adolescent patients with migraine.,Yamashita Y et al.
2018 Nov,Anat Rec (Hoboken),Neuropil Distribution in the Anterior Cingulate and Occipital Cortex of Artiodactyls.,Manger PR et al.
2019 Jan,Brain Struct Funct,Unidirectional monosynaptic connections from auditory areas to the primary visual cortex in the marmoset monkey.,Mitra PP et al.
2019 Feb 1,Brain Res,Transcranial direct-current stimulation (tDCS) improves detection of simple bright stimuli by amblyopic Long Evans rats in the SLAG task and produces an increase of parvoalbumin labelled cells in visual cortices.,Nieto-Escámez F et al.
2018 Dec,Cortex,One versus two eyes makes a difference! Early face perception is modulated by featural fixation and feature context.,Itier RJ et al.
2018 Oct 1,J Vis,"Color statistics of objects, and color tuning of object cortex in macaque monkey.",Conway BR et al.
2018,Front Neuroanat,Functional Anatomy of the Inferior Longitudinal Fasciculus: From Historical Reports to Current Hypotheses.,Duffau H et al.
2018 Nov 21,J Neurosci,Aggrecan Directs Extracellular Matrix-Mediated Neuronal Plasticity.,Dick G et al.
2018 Nov 21,J Neurosci,Nonlinear Lateral Interactions in V1 Population Responses Explained by a Contrast Gain Control Model.,Geisler WS et al.
2018 Nov 14,J Neurosci,Opposite Dynamics of GABA and Glutamate Levels in the Occipital Cortex during Visual Processing.,Riedl V et al.
2019 Jul-Sep,J Bras Nefrol,Reversible posterior encephalopathy syndrome in a 10-year-old child.,Paula LP et al.
2018 Dec,J Neural Eng,Compact convolutional neural networks for classification of asynchronous steady-state visual evoked potentials.,Vettel JM et al.
2018 Dec 1,Am J Psychiatry,Impaired Motion Processing in Schizophrenia and the Attenuated Psychosis Syndrome: Etiological and Clinical Implications.,Javitt DC et al.
2018,PLoS One,Multimodal MRI suggests that male homosexuality may be linked to cerebral midline structures.,Savic I et al.
2019 Jul 22,Cereb Cortex,Early-Emerging Sulcal Patterns Are Atypical in Fetuses with Congenital Heart Disease.,Im K et al.
2019 Jul 22,Cereb Cortex,Early Developmental Trajectories of Functional Connectivity Along the Visual Pathways in Rhesus Monkeys.,Sanchez M et al.
2019 Jul 22,Cereb Cortex,Computational Feature Analysis of Body Movements Reveals Hierarchical Brain Organization.,de Gelder B et al.
2019 Jul 22,Cereb Cortex,Neural Correlates of Group Bias During Natural Viewing.,Gouws AD et al.
2018 Oct,Neurosurg Focus,Awake resection of a left operculo-insular low-grade glioma guided by cortico-subcortical mapping.,Duffau H et al.
2018 Sep 4,J Vis,Human V2A: A map of the peripheral visual hemifield with functional connections to scene-selective cortex.,Haak KV et al.
2018 Sep,No Shinkei Geka,[Dural Arteriovenous Fistulae in the Tentorium Manifesting as Dementia].,Itamoto K et al.
2018 Oct 9,Proc Natl Acad Sci U S A,Axonal plasticity associated with perceptual learning in adult macaque primary visual cortex.,Gilbert CD et al.
2019 Jan 15,J Affect Disord,Aberrant cortical neurodevelopment in major depressive disorder.,Wolf RC et al.
2018 Nov,Cortex,Distinct sensitivities of the lateral prefrontal cortex and extrastriate body area to contingency between executed and observed actions.,Sadato N et al.
2018 Dec 1,Oper Neurosurg (Hagerstown),A Connectomic Atlas of the Human Cerebrum-Chapter 13: Tractographic Description of the Inferior Fronto-Occipital Fasciculus.,Sughrue ME et al.
2018 Dec 1,Oper Neurosurg (Hagerstown),A Connectomic Atlas of the Human Cerebrum-Chapter 9: The Occipital Lobe.,Sughrue ME et al.
2018 Dec 1,Oper Neurosurg (Hagerstown),A Connectomic Atlas of the Human Cerebrum-Chapter 16: Tractographic Description of the Vertical Occipital Fasciculus.,Sughrue ME et al.
2018 Dec 1,Oper Neurosurg (Hagerstown),"A Connectomic Atlas of the Human Cerebrum-Chapter 8: The Posterior Cingulate Cortex, Medial Parietal Lobe, and Parieto-Occipital Sulcus.",Sughrue ME et al.
2018 Oct 9,Proc Natl Acad Sci U S A,Functionally specific optogenetic modulation in primate visual cortex.,Roe AW et al.
2018 Sep 25,Cell Rep,Cross-Modal Reinstatement of Thalamocortical Plasticity Accelerates Ocular Dominance Plasticity in Adult Mice.,Lee HK et al.
2018 Dec,J Glaucoma,Metabolic Alterations Within the Primary Visual Cortex in Early Open-angle Glaucoma Patients: A Proton Magnetic Resonance Spectroscopy Study.,Zhang Z et al.
2018 Sep 26,Elife,Sparse recurrent excitatory connectivity in the microcircuit of the adult mouse and human cortex.,Jarsky T et al.
2019 Mar 1,J Comp Neurol,Ultrastructural and optogenetic dissection of V1 corticotectal terminal synaptic properties.,Bickford ME et al.
2018 Sep 25,Nat Commun,Functional modulation of primary visual cortex by the superior colliculus in the mouse.,Heimel JA et al.
2018 Oct 9,Proc Natl Acad Sci U S A,Bottom-up saliency and top-down learning in the primary visual cortex of monkeys.,Li W et al.
2018 Nov,Clin Neurophysiol,The utility and application of electrophysiological methods in the study of visual hallucinations.,Taylor JP et al.
2018 Dec 5,Neuroreport,Microstructural differences in visual white matter tracts in people with aniridia.,McDowell JE et al.
2019 Feb 1,Hum Brain Mapp,From eyes-closed to eyes-open: Role of cholinergic projections in EC-to-EO alpha reactivity revealed by combining EEG and MRI.,Ding M et al.
2018 Oct,Nat Neurosci,Impaired perceptual learning in a mouse model of Fragile X syndrome is mediated by parvalbumin neuron dysfunction and is reversible.,Portera-Cailliau C et al.
2018 Nov 30,Psychiatry Res Neuroimaging,Abnormal brain processing of gentle touch in anorexia nervosa.,Olausson H et al.
2019 Jul 22,Cereb Cortex,Expression of Transcripts Selective for GABA Neuron Subpopulations across the Cortical Visuospatial Working Memory Network in the Healthy State and Schizophrenia.,Hashimoto T et al.
2018,Front Psychiatry,The Neural Correlates of Implicit Cognitive Bias Toward Internet-Related Cues in Internet Addiction: An ERP Study.,Zhou Z et al.
2018 Dec,Psychiatry Res,Seasonal variation of spontaneous blink rate and beta EEG activity.,Costanzo A et al.
2018 Nov,Cortex,No evidence for enhanced distractor template representation in early visual cortex.,Pollmann S et al.
2020 Jan,Cortex,Alpha oscillations reveal implicit visual processing of motion in hemianopia.,Bertini C et al.
2018 Dec,J Clin Neurosci,Evaluation of different ulegyria patterns with magnetic resonance imaging.,Çevik B et al.
2018 Dec 15,Brain Res,Macromolecule-suppressed GABA measurements correlate more strongly with behavior than macromolecule-contaminated GABA+ measurements.,Puts NAJ et al.
2019 Jan 1,Neuroimage,Low-frequency alternating current stimulation rhythmically suppresses gamma-band oscillations and impairs perceptual performance.,Bergmann TO et al.
2019 Jan 1,Neuroimage,Eccentricity-dependent temporal contrast tuning in human visual cortex measured with fMRI.,Wade AR et al.
2018 Sep,Aging Med (Milton),Microstructural changes in the brain in elderly patients with irritable bowel syndrome.,Zhang Y et al.
2018 Sep 4,J Vis,Serial dependence in numerosity perception.,Park J et al.
2018 Nov 7,J Neurosci,Feature-Specific Awake Reactivation in Human V1 after Visual Training.,Rahnev D et al.
2018 Oct 31,J Neurosci,Emergence of Binocular Disparity Selectivity through Hebbian Learning.,Cottereau BR et al.
2018 Dec,Eur J Neurosci,Human posterior parietal cortex responds to visual stimuli as early as peristriate occipital cortex.,Deouell LY et al.
2019 Jan,J Cogn Neurosci,A Varying Role for Abstraction in Models of Category Learning Constructed from Neural Representations in Early Visual Cortex.,Op de Beeck H et al.
2019 Jan 1,Neuroimage,"Background connectivity between frontal and sensory cortex depends on task state, independent of stimulus modality.",Visscher KM et al.
2018 Sep,Medicine (Baltimore),Choroid plexus papilloma presenting as an occipital mass with neck pain: Case report.,Dai D et al.
2018 Oct,Psychol Rev,Complementary surrounds explain diverse contextual phenomena across visual modalities.,Serre T et al.
2019 Mar,Int J Neurosci,Occipital lobe epilepsy was presented in a patient with intracerebral schwannoma: a case report and literature review.,Morita A et al.
2018 Sep 25,Zhen Ci Yan Jiu,[Progress of Researches on Brain Mechanism Underlying Regulatory Effect of Acupuncture Intervention on Visual Plasticity of Amblyopia].,Yan XK et al.
2019 Mar,Clin Exp Optom,Choroidal thinning and ocular electrophysiology in a case of vascular cognitive impairment after stroke.,Black J et al.
2019 Mar,Magn Reson Med,Optimal repetition time reduction for single subject event-related functional magnetic resonance imaging.,Carmichael DW et al.
2019 Jun,Psychol Med,Hippocampal-subregion functional alterations associated with antidepressant effects and cognitive impairments of electroconvulsive therapy.,Tian Y et al.
2018 Oct 24,J Neurosci,Anterior Temporal Lobectomy Impairs Neural Classification of Body Emotions in Right Superior Temporal Sulcus and Reduces Emotional Enhancement in Distributed Brain Areas without Affecting Behavioral Classification.,Van den Stock J et al.
2019 Feb,Magn Reson Med,A human cerebral and cerebellar 8-channel transceive RF dipole coil array at 7T.,Ipek Ö et al.
2018 Jul-Aug,eNeuro,Two Sides of the Same Coin: Distinct Sub-Bands in the α Rhythm Reflect Facilitation and Suppression Mechanisms during Auditory Anticipatory Attention.,Bidet-Caulet A et al.
2018 Oct 16,Proc Natl Acad Sci U S A,Converging evidence for functional and structural segregation within the left ventral occipitotemporal cortex in reading.,Paz-Alonso PM et al.
2019 Nov,Neuroophthalmology,Palinopsia Accompanied with Migraine Attack After Having Occipital Brain Abscess.,Kojima A et al.
2018 Dec,World Neurosurg,Ictal Asystole Induced by Right Posterior Quadrant Epilepsy: Report of a Radically Treated Case.,Enoki H et al.
2018 Sep 15,Annu Rev Vis Sci,Corollary Discharge Contributions to Perceptual Continuity Across Saccades.,Wurtz RH et al.
2018 Sep 15,Annu Rev Vis Sci,Shape from Contour: Computation and Representation.,Elder JH et al.
2018 Sep 17,Elife,Conditioning sharpens the spatial representation of rewarded stimuli in mouse primary visual cortex.,Pennartz CM et al.
2018 Oct 10,Neuron,Distinct Laminar Processing of Local and Global Context in Primate Primary Visual Cortex.,Angelucci A et al.
2018 Sep 4,Zhonghua Yi Xue Za Zhi,[Statistical parametric mapping analysis of 18F-FDG PET in Parkinson's disease with mild cognitive impairment].,Meng FG et al.
2018 Sep 8,Zhonghua Bing Li Xue Za Zhi,[Neuropathologic study of massive subcortical heterotopia].,Piao YS et al.
2019 May,Cortex,"Processing number and length in the parietal cortex: Sharing resources, not a common code.",Piazza M et al.
2019 Jan 1,Neuroimage,"A face is more than just the eyes, nose, and mouth: fMRI evidence that face-selective cortex represents external features.",Dilks DD et al.
2019 Apr,Cephalalgia,Tracking patients with chronic occipital headache after occipital nerve decompression surgery: A case series.,Burstein R et al.
2018 Oct,Seizure,"Lateralizing and localizing value of seizure semiology: Comparison with scalp EEG, MRI and PET in patients successfully treated with resective epilepsy surgery.",Kotagal P et al.
2019 Jul 22,Cereb Cortex,Frontoparietal Networks Mediate the Behavioral Impact of Alpha Inhibition in Visual Cortex.,Wilson TW et al.
2019 Mar,Int J Neural Syst,"A Neuronal Network Model of the Primate Visual System: Color Mechanisms in the Retina, LGN and V1.",Pelayo F et al.
2017,Clin Neurophysiol Pract,Functional localization and effective connectivity of cortical theta and alpha oscillatory activity during an attention task.,Kinoshita T et al.
2018,Neuropsychiatr Dis Treat,EEG correlates of induced anxiety in obsessive-compulsive patients: comparison of autobiographical and general anxiety scenarios.,Latalova K et al.
2018 Nov 10,Neuroscience,Neural Mechanisms of Material Perception: Quest on Shitsukan.,Goda N et al.
2018 Sep,Medicine (Baltimore),The different association of allocentric and egocentric neglect with dorsal and ventral pathways: A case report.,Jang WH et al.
2018,Front Neural Circuits,Attention Configures Synchronization Within Local Neuronal Networks for Processing of the Behaviorally Relevant Stimulus.,Kreiter AK et al.
2018,Front Neural Circuits,Evolution in Neuromodulation-The Differential Roles of Acetylcholine in Higher Order Association vs. Primary Visual Cortices.,Wang M et al.
2018 Sep 4,J Vis,Eccentricity scale independence for scene perception in the first tens of milliseconds.,van den Berg AV et al.
2018 Oct,IEEE Trans Neural Syst Rehabil Eng,Counteracting the Slowdown of Reaction Times in a Vigilance Experiment With 40-Hz Transcranial Alternating Current Stimulation.,Herrmann CS et al.
2019 Jan,Brain Topogr,Patterns of Grey Matter Atrophy at Different Stages of Parkinson's and Alzheimer's Diseases and Relation to Cognition.,Rektorova I et al.
2018 Nov 1,Neurosci Lett,Co-activation of both 5-HT1A and 5-HT7 receptors induced attenuation of glutamatergic synaptic transmission in the rat visual cortex.,Wang J et al.
2018 Oct,Nature,Coherent encoding of subjective spatial position in visual cortex and hippocampus.,Carandini M et al.
2018 Oct 31,J Neurosci,Visuomotor Correlates of Conflict Expectation in the Context of Motor Decisions.,Duque J et al.
2018 Aug 28,Zhong Nan Da Xue Xue Bao Yi Xue Ban,[Nontarget area and threshold selection in 99mTc-DTPA orbital SPECT/CT imaging inthyroid associated ophthalmopathy].,Xu X et al.
2018 Nov 1,Neurosci Lett,Alterations of static functional connectivity and dynamic functional connectivity in motor execution regions after stroke.,Ren C et al.
2018 Sep 7,Sci Rep,"Unilateral Exoskeleton Imposes Significantly Different Hemispherical Effect in Parietooccipital Region, but Not in Other Regions.",Bezerianos A et al.
2018 Oct,J Comput Neurosci,Adjusted regularization of cortical covariance.,Kass RE et al.
2018 Sep,Sci Adv,Transparent arrays of bilayer-nanomesh microelectrodes for simultaneous electrophysiology and two-photon imaging in the brain.,Fang H et al.
2018 Oct,AJNR Am J Neuroradiol,Apparent Diffusion Coefficient Levels and Neurodevelopmental Outcome in Fetuses with Brain MR Imaging White Matter Hyperintense Signal.,Bar-Yosef O et al.
2018 Oct,Brain Lang,"Global gray matter morphometry differences between children with reading disability, ADHD, and comorbid reading disability/ADHD.",Constance JM et al.
2019 Jan,J Cogn Neurosci,Spatial Frequency Tolerant Visual Object Representations in the Human Ventral and Dorsal Visual Processing Pathways.,Xu Y et al.
2018 Dec,Brain Struct Funct,A characterization of laminar architecture in mouse primary auditory cortex.,Kawai HD et al.
2018,Neuroimage Clin,Relating resting-state hemodynamic changes to the variable language profiles in post-stroke aphasia.,Halai AD et al.
2018 Sep 4,Cell Rep,"The Impact of Visual Cues, Reward, and Motor Feedback on the Representation of Behaviorally Relevant Spatial Locations in Primary Visual Cortex.",Rochefort NL et al.
2018 Oct 17,J Neurosci,Neural Correlate of Visual Familiarity in Macaque Area V2.,Olson CR et al.
2019 Jan,Psychiatry Investig,Fear Network Model in Panic Disorder: The Past and the Future.,Lai CH et al.
2018 Nov,Epilepsy Res,[18F]fluorodeoxyglucose-positron emission tomography study of genetically confirmed patients with Dravet syndrome.,Kure S et al.
2018 Oct 15,Neuroscience,The Distinct Roles of Dorsal and Ventral Visual Systems in Naming of Chinese Characters.,Shu H et al.
2018 Nov,Neurol Res,Temporal lobe contusions on computed tomography are associated with impaired 6-month functional recovery after mild traumatic brain injury: a TRACK-TBI study.,The Track-Tbi Investigators et al.
2018 Sep 28,Rinsho Shinkeigaku,"[A case of various illusion, and hallucination caused by occipital lobe infarction].",Kuriyama M et al.
2019 Jan,Psychophysiology,A high-density EEG study of differentiation between two speeds and directions of simulated optic flow in adults and infants.,van der Meer ALH et al.
2018 Sep 19,Neuron,"Correlation of Synaptic Inputs in the Visual Cortex of Awake, Behaving Mice.",Hestrin S et al.
2018 Dec,World Neurosurg,"Anatomic Understanding of Posterior Quadrant Disconnection from Cadaveric Brain, 3D Reconstruction and Simulation Model, and Intraoperative Photographs.",Ohata K et al.
2018 Dec,World Neurosurg,Crutchlike Incision Along the Mastoid Groove and Above the Occipital Artery Protects the Lesser Occipital Nerve and Occipital Artery in Microvascular Decompression Surgery.,Ruan X et al.
2018 Sep 18,Proc Natl Acad Sci U S A,Mid-level visual features underlie the high-level categorical organization of the ventral stream.,Konkle T et al.
2018 Dec,Neuroimage,Creatures great and small: Real-world size of animals predicts visual cortex representations beyond taxonomic category.,Koch GE et al.
2019 Jan 1,Neuroimage,Measurement of Sylvian Fissure asymmetry and occipital bending in humans and Pan troglodytes.,Roberts N et al.
2019 Jul 22,Cereb Cortex,Large-Scale Organization of the Hand Action Observation Network in Individuals Born Without Hands.,Caramazza A et al.
2019 May,Aging Clin Exp Res,Second-order visual sensitivity in the aging population.,Hess RF et al.
2019 Jul,J Neurol,Gluten sensitivity and epilepsy: a systematic review.,Zis P et al.
2019,Endocr Metab Immune Disord Drug Targets,FDG-PET Scanning Shows Distributed Changes in Cortical Activity Associated with Visual Hallucinations in Eye Disease.,Yulug B et al.
2019 Oct,Brain Imaging Behav,Machine learning technique reveals intrinsic characteristics of schizophrenia: an alternative method.,Yu R et al.
2019 Sep,J Neuropsychol,Left inferior frontal cortex can compensate the inhibitory functions of right inferior frontal cortex and pre-supplementary motor area.,Mascalchi M et al.
2018 Dec,J Neural Eng,A head mounted device stimulator for optogenetic retinal prosthesis.,Degenaar P et al.
2018 Sep 11,Proc Natl Acad Sci U S A,Neurobehavioral correlates of obesity are largely heritable.,Dagher A et al.
2019 Jan,Eur J Neurol,Cortical thinning in epilepsy patients with postictal generalized electroencephalography suppression.,Zhou D et al.
2018 Aug 27,Sci Rep,Decreased Gray Matter Volume of Cuneus and Lingual Gyrus in Schizophrenia Patients with Tardive Dyskinesia is Associated with Abnormal Involuntary Movement.,Tan Y et al.
2018 Oct 10,J Neurosci,Thalamus Controls Development and Expression of Arousal States in Visual Cortex.,Colonnese MT et al.
2019 Oct,Brain Imaging Behav,The impact of localized grey matter damage on neighboring connectivity: posterior cortical atrophy and the visual network.,Levin N et al.
2018,Dement Geriatr Cogn Disord,Parietal Involvement in Constructional Apraxia as Measured Using the Pentagon Copying Task.,van den Berg E et al.
2018 Dec,Hum Brain Mapp,Structural and functional changes of the visual cortex in early Huntington's disease.,Roos RAC et al.
2018,Zh Nevrol Psikhiatr Im S S Korsakova,[Cerebral structural characteristics in children with unilateral amblyopia: a MRI study].,Tomyshev AS et al.
2018 Aug 1,J Vis,Slow gain fluctuations limit benefits of temporal integration in visual cortex.,Simoncelli EP et al.
2021 Jan,,"Neuroanatomy, Temporal Lobe",Fowler JB et al.
2019 Jul 22,Cereb Cortex,Atypical Local and Distal Patterns of Occipito-frontal Functional Connectivity are Related to Symptom Severity in Autism.,Müller RA et al.
2019 Jan,Hum Brain Mapp,Objective PET study of glucose metabolism asymmetries in children with epilepsy: Implications for normal brain development.,Juhász C et al.
2018 Aug 21,Cell Rep,Emergent Orientation Selectivity from Random Networks in Mouse Visual Cortex.,Hansel D et al.
2019 Jan,Eur J Neurol,Decreased regional cerebral blood flow in patients with diphenylarsinic acid intoxication.,Tamaoka A et al.
2018,Front Neurol,Occipital Lobe Epilepsy With Ictal Fear: Evidence From a Stereo-Electroencephalography (sEEG) Case.,Yan Z et al.
2018 Aug 21,Sci Rep,Perceptual Expectations of Object Stimuli Modulate Repetition Suppression in a Delayed Repetition Design.,Kronbichler M et al.
2018 Oct 15,Neurosci Lett,The pre-stimulus oscillatory alpha phase affects neural correlates of early visual perception.,Mierau A et al.
2018 Aug 20,J Headache Pain,Anodal frontal tDCS for chronic cluster headache treatment: a proof-of-concept trial targeting the anterior cingulate cortex and searching for nociceptive correlates.,Schoenen J et al.
2019 Oct,Brain Imaging Behav,Regional leukoaraiosis and cognition in non-demented older adults.,Price CC et al.
2018,Neuroimage Clin,Attenuation of long-range temporal correlations of neuronal oscillations in young children with autism spectrum disorder.,Yu D et al.
2018,Neuroimage Clin,Gyrification changes are related to cognitive strengths in autism.,Mottron L et al.
2018 Oct 3,J Neurosci,General Transformations of Object Representations in Human Visual Cortex.,Chun MM et al.
2018 Nov 1,J Radiat Res,Relationship between pressure levels on the occipital region and intrafraction motion using an individualized head support for intracranial treatment.,Nishizaki O et al.
2019 Jul 5,Cereb Cortex,Low-Intensity Pulsed Ultrasound Stimulation Induces Coupling Between Ripple Neural Activity and Hemodynamics in the Mouse Visual Cortex.,Li X et al.
2019 Jul 5,Cereb Cortex,Temporal-Order-Based Attentional Priority Modulates Mnemonic Representations in Parietal and Frontal Cortices.,Shim WM et al.
2018 Oct 30,Psychiatry Res Neuroimaging,Impact of substance use disorder on gray matter volume in schizophrenia.,Heckers S et al.
2018 Aug 17,Sci Rep,Visual Processing by Calretinin Expressing Inhibitory Neurons in Mouse Primary Visual Cortex.,Heimel JA et al.
2018 Sep 26,J Neurosci,Contextual-Dependent Attention Effect on Crowded Orientation Signals in Human Visual Cortex.,Tjan BS et al.
2018 Oct 3,J Neurosci,Rhythm and Synchrony in a Cortical Network Model.,Young LS et al.
2019 Nov,J Cereb Blood Flow Metab,Dynamic metabolic changes in human visual cortex in regions with positive and negative blood oxygenation level-dependent response.,Möller HE et al.
2018,Front Neurol,Altered Regional Cortical Brain Activity in Healthy Subjects After Sleep Deprivation: A Functional Magnetic Resonance Imaging Study.,Zheng J et al.
2018 Oct 17,Neuroreport,Symmetric tract-based spatial statistics of patients with left versus right mesial temporal lobe epilepsy with hippocampal sclerosis.,Dörfler A et al.
2019 Feb 15,J Comp Neurol,Neuronal response properties across cytochrome oxidase stripes in primate V2.,Gattass R et al.
2018 Dec,Psychophysiology,The neural signature of extracting emotional content from rapid visual streams at multiple presentation rates: A cross-laboratory study.,Müller MM et al.
2018 Aug 15,Sci Rep,Three-stage processing of category and variation information by entangled interactive mechanisms of peri-occipital and peri-frontal cortices.,Karimi-Rouzbahani H et al.
2018 Aug,Nature,Restoration of vision after de novo genesis of rod photoreceptors in mammalian retinas.,Chen B et al.
2018,PLoS One,"Topographical study of the trapezius muscle, greater occipital nerve, and occipital artery for facilitating blockade of the greater occipital nerve.",Won HS et al.
2018,PLoS One,Striatal transcriptome of a mouse model of ADHD reveals a pattern of synaptic remodeling.,Rhodes JS et al.
2018 Nov 1,J Neurophysiol,Neuronal population mechanisms of lightness perception.,Cohen MR et al.
2018,Neuroimage Clin,"Connecting occipital alpha band peak frequency, visual temporal resolution, and occipital GABA levels in healthy participants and hepatic encephalopathy patients.",Schnitzler A et al.
2018 Sep 26,J Neurosci,Interneuron Simplification and Loss of Structural Plasticity As Markers of Aging-Related Functional Decline.,Nedivi E et al.
2018 Oct,Neuropsychologia,Modulating the excitability of the visual cortex using a stimulation priming paradigm.,Battelli L et al.
2018 Aug 14,Elife,Framing orientation selectivity.,Ekman M et al.
2018 Aug 14,Elife,Stimulus vignetting and orientation selectivity in human visual cortex.,Merriam EP et al.
2018 Dec,Am J Ophthalmol Case Rep,Macular ganglion cells alteration in a patient with left homonymous hemianopia subsequent to surgical excision of an arteriovenous malformation.,Mancino R et al.
2018 Sep 26,J Neurosci,Posterior Parietal Cortex Dysfunction Is Central to Working Memory Storage and Broad Cognitive Deficits in Schizophrenia.,Gold JM et al.
2018 Aug 13,BMC Neurol,Electroclinical characteristics of seizures arising from the precuneus based on stereoelectroencephalography (SEEG).,Zhao G et al.
2019 Aug,Eur J Neurosci,Binge drinking is associated with attenuated frontal and parietal activation during successful response inhibition in fearful context.,Duka T et al.
2018 Sep,Trends Cogn Sci,Face Space Representations in Deep Convolutional Neural Networks.,Chellappa R et al.
2018 Oct 1,Drug Alcohol Depend,"Cue reactivity and opioid blockade in amphetamine dependence: A randomized, controlled fMRI study.",Franck J et al.
2018 Dec,J Neuroophthalmol,Visual Snow: Visual Misperception.,Fielding J et al.
2018 Nov,Psychophysiology,N2pc reflects two modes for coding the number of visual targets.,Dell'Acqua R et al.
2018 Sep,Brain Behav,"Most calbindin-immunoreactive neurons, but few calretinin-immunoreactive neurons, express the m1 acetylcholine receptor in the middle temporal visual area of the macaque monkey.",Disney AA et al.
2018,Neuroimage Clin,Type and timing of childhood maltreatment and reduced visual cortex volume in children and adolescents with reactive attachment disorder.,Tomoda A et al.
2018 Nov,Int J Psychophysiol,Visual expertise for print in schizophrenia: Analysis of the N170 component.,Doignon-Camus N et al.
2018 Aug 8,Neuron,Economic Choice as an Untangling of Options into Actions.,Hayden BY et al.
2018 Jun,J Epilepsy Res,Tonic Upward Eyeball Deviation Mimicking Non-Convulsive Occipital Lobe Status Epilepticus That Was Induced by Hydrocephalus.,Kim OJ et al.
2018 Aug,PLoS Biol,Long-term all-optical interrogation of cortical neurons in awake-behaving nonhuman primates.,Tang S et al.
2018 Oct 1,J Neurophysiol,"Self-motion processing in visual and entorhinal cortices: inputs, integration, and implications for position coding.",Giocomo LM et al.
2018 Nov,Surg Radiol Anat,Stereoscopic visual area connectivity: a diffusion tensor imaging study.,Seizeur R et al.
2021 Jan,,Complex Partial Seizure,Sharma S et al.
